Id,AverageSteps,AverageCalories,AverageDistance,AverageSedentaryMinutes,ActivityDays
8877689391,16040.032258064517,3409.2689314772992,13.212903138129944,1112.8709677419354,31
8053475328,14763.290322580646,2945.2976799626463,11.475161198646788,1148.0,31
1503960366,12116.741935483871,1876.3289764761926,7.8096773855147825,848.1612903225806,31
2022484408,11370.645161290322,2502.9726040517103,8.084193491166635,1112.5806451612902,31
7007744171,11323.423076923076,2542.3087276632946,8.015384591542757,1055.3461538461538,26
3977333714,10984.566666666668,1563.5147975251587,7.516999944051109,707.5333333333333,30
4388161847,10813.935483870968,3038.459390982505,8.393225892897574,836.6774193548387,31
6962181067,9794.806451612903,1982.527802732683,6.585806477454403,662.3225806451613,31
2347167796,9519.666666666666,2040.5637485749187,6.355555535915001,687.1666666666666,18
7086361926,9371.774193548386,2559.076730766602,6.388064507815627,850.4516129032259,31
8378563200,8717.709677419354,3424.8347074639414,6.913548461852531,716.1290322580645,31
5553957443,8612.58064516129,1875.158847064741,5.63967744958016,668.3548387096774,31
4702921684,8572.064516129032,2964.707377799097,6.9551612830931155,766.4193548387096,31
5577150313,8304.433333333332,3360.3700029253946,6.213333304723104,754.4333333333333,30
4558609924,7685.129032258064,2031.5610643067664,5.080645176672166,1093.6129032258063,31
2873212765,7555.774193548387,1906.8529566276457,5.101612860156644,1097.1935483870968,31
1644430081,7282.966666666666,2807.2928807874537,5.295333353678386,1161.8666666666666,30
4319703577,7268.8387096774195,1994.5653476868947,4.892258047036105,735.8064516129032,31
8583815059,7198.5161290322585,2648.504410537082,5.615483822361117,1267.225806451613,31
6117666160,7046.714285714285,2165.1179558719946,5.342142914022717,796.2857142857143,28
3372868164,6861.65,1930.0289637982842,4.707000041007996,1077.55,20
8253242879,6482.1578947368425,1883.89683798949,4.667368468485381,1287.3684210526317,19
1624580081,5743.903225806452,1482.3216819224815,3.9148387293661786,1257.741935483871,31
6290855005,5649.551724137931,2690.0469561048862,4.27241380461331,1193.0344827586207,29
2026352035,5566.870967741936,1538.8260189333275,3.4548387152533375,689.4193548387096,31
4445114986,4796.548387096775,2178.8288966609603,3.2458064402303384,829.9032258064516,31
2320127002,4716.870967741936,1722.7385906538655,3.187741904489456,1220.0967741935483,31
4057192912,3838.0,1962.657625049352,2.86250001192093,1217.25,4
1844505072,2580.064516129032,1572.483103184931,1.7061290368437774,1206.6129032258063,31
6775888955,2519.6923076923076,2131.215192542622,1.8134615161241252,1299.423076923077,26
4020332650,2267.2258064516127,2376.9839716918973,1.6261290389323428,1237.258064516129,31
8792009665,1853.7241379310344,2030.860988791499,1.1865517168209476,1060.4827586206898,29
1927972279,916.1290322580645,2171.868317250285,0.6345161230814076,1317.4193548387098,31
